stateAbbrev,countyName,FIPS,totalVotes,VAP,state,turnoutPerc,nNonVote,percFromMean
NY,Allegany County,36003,18692.0,37360.0,New York,50.03211991434689,18668.0,-5.467880085653107
NY,Bronx County,36005,399522.0,830545.0,New York,48.10359462762403,431023.0,-7.396405372375973
NY,Broome County,36007,86072.0,153425.0,New York,56.100374775949156,67353.0,0.600374775949156
NY,Cattaraugus County,36009,31161.0,60000.0,New York,51.934999999999995,28839.0,-3.565000000000005
NY,Cayuga County,36011,33172.0,61875.0,New York,53.61131313131313,28703.0,-1.888686868686868
NY,Chautauqua County,36013,54234.0,102880.0,New York,52.715785381026436,48646.0,-2.7842146189735644
NY,Chemung County,36015,36119.0,67625.0,New York,53.410720887245844,31506.0,-2.0892791127541557
NY,Chenango County,36017,20160.0,38380.0,New York,52.52735799895779,18220.0,-2.9726420010422103
NY,Clinton County,36019,32105.0,64910.0,New York,49.46079186566015,32805.0,-6.039208134339852
NY,Columbia County,36021,30902.0,48655.0,New York,63.51248586990032,17753.0,8.012485869900317
NY,Cortland County,36023,20244.0,38815.0,New York,52.15509467989179,18571.0,-3.344905320108211
NY,Delaware County,36025,19792.0,37290.0,New York,53.07589165996246,17498.0,-2.4241083400375416
NY,Dutchess County,36027,130934.0,223170.0,New York,58.67007214231303,92236.0,3.170072142313032
NY,Erie County,36029,423625.0,705180.0,New York,60.07331461470831,281555.0,4.573314614708309
NY,Essex County,36031,17218.0,31275.0,New York,55.053557154276575,14057.0,-0.44644284572342485
NY,Franklin County,36033,16952.0,40155.0,New York,42.21641140580252,23203.0,-13.283588594197482
NY,Fulton County,36035,21214.0,42660.0,New York,49.72808251289264,21446.0,-5.771917487107359
NY,Genesee County,36037,26432.0,46350.0,New York,57.026968716289105,19918.0,1.5269687162891046
NY,Greene County,36039,22050.0,38640.0,New York,57.065217391304344,16590.0,1.5652173913043441
NY,Hamilton County,36041,3225.0,3895.0,New York,82.798459563543,670.0,27.298459563543005
NY,Herkimer County,36043,26255.0,49625.0,New York,52.906801007556666,23370.0,-2.593198992443334
NY,Jefferson County,36045,38236.0,87030.0,New York,43.93427553717109,48794.0,-11.56572446282891
NY,Kings County,36047,805605.0,1621215.0,New York,49.69143512735818,815610.0,-5.808564872641817
